transaction_id,user_id,transaction_amount,transaction_type,timestamp,account_balance,device_type,location,merchant_category,ip_address_flag,previous_fraudulent_activity,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,risk_score,is_weekend,fraud_label
TXN_4715,USER_1692,2.22,Online,2023-05-01 20:00:00,11735.31,Mobile,Liverpool,Restaurants,0,0,1,149.24,4,Discover,103,1343.46,OTP,0.0594,0,1
TXN_33766,USER_8204,177.84,Online,2023-08-14 09:30:00,79529.6,Mobile,Yokohama,Clothing,1,0,1,43.95,0,Mastercard,19,1829.79,OTP,0.1901,0,0
TXN_5475,USER_6818,90.65,Bank Transfer,2023-11-11 11:02:00,58905.2,Laptop,Liverpool,Electronics,0,0,2,297.09,4,Amex,229,1804.18,PIN,0.752,1,1
TXN_6725,USER_6021,4.06,Online,2023-10-04 13:48:00,28014.19,Mobile,Sydney,Clothing,0,0,2,163.5,3,Mastercard,81,2533.73,PIN,0.1886,1,0
TXN_31583,USER_8897,106.04,Bank Transfer,2023-08-11 08:57:00,9239.21,Tablet,Melbourne,Groceries,0,0,9,151.9,0,Visa,234,4605.37,OTP,0.3899,0,0
TXN_33871,USER_7003,161.77,POS,2023-12-23 16:21:00,41820.83,Tablet,Houston,Electronics,0,0,7,300.53,4,Mastercard,239,1100.64,Biometric,0.6558,0,1
TXN_30272,USER_8279,14.98,Bank Transfer,2023-07-16 19:48:00,46706.94,Laptop,Brisbane,Electronics,0,0,5,490.15,0,Visa,161,3630.76,OTP,0.7481,0,0
TXN_3698,USER_4940,177.46,ATM Withdrawal,2023-10-08 20:41:00,50693.15,Mobile,Delhi,Restaurants,0,0,10,224.36,2,Amex,5,1446.1,PIN,0.9196,0,1
TXN_49660,USER_8918,203.89,Bank Transfer,2023-11-29 10:58:00,78541.59,Laptop,San Francisco,Restaurants,0,0,6,244.86,0,Visa,159,3560.51,Biometric,0.2901,0,0
TXN_41436,USER_7219,218.55,ATM Withdrawal,2023-01-21 13:34:00,55028.25,Laptop,Birmingham,Electronics,0,0,5,266.25,2,Amex,25,4030.86,Password,0.5006,1,0
TXN_20628,USER_5721,132.38,POS,2023-10-19 10:37:00,67659.79,Mobile,Leeds,Travel,0,0,12,279.38,3,Amex,76,2621.44,Password,0.7345,1,0
TXN_47564,USER_9177,36.5,Online,2023-06-03 04:08:00,89170.99,Mobile,New York,Clothing,0,0,10,219.67,0,Visa,235,2102.52,PIN,0.9713,0,1
TXN_29682,USER_4600,36.82,Bank Transfer,2023-07-05 06:08:00,56488.54,Tablet,Sapporo,Restaurants,1,0,4,333.79,2,Amex,104,1345.89,Biometric,0.06,1,0
TXN_16086,USER_7627,39.2,POS,2023-04-27 02:15:00,68501.06,Laptop,London,Restaurants,0,0,5,463.56,2,Visa,107,4600.2,OTP,0.7422,0,0
TXN_40951,USER_2367,21.87,POS,2023-09-26 07:58:00,13368.45,Mobile,Osaka,Restaurants,0,0,8,300.89,2,Amex,116,2605.71,PIN,0.1943,1,0
TXN_17768,USER_2210,12.38,ATM Withdrawal,2023-03-14 05:29:00,48666.78,Laptop,Kyoto,Clothing,0,0,9,170.26,3,Mastercard,157,4585.82,Password,0.821,1,0
TXN_3976,USER_9112,116.89,POS,2023-02-23 14:22:00,75765.83,Mobile,Mumbai,Clothing,0,0,8,135.81,4,Mastercard,9,3677.0,Password,0.1903,0,1
TXN_19405,USER_7981,218.88,POS,2023-09-21 01:47:00,96489.12,Mobile,Perth,Clothing,0,0,8,314.4,0,Mastercard,194,4922.8,OTP,0.9881,0,1
TXN_14071,USER_1569,194.56,ATM Withdrawal,2023-11-14 22:14:00,3884.44,Tablet,Chennai,Electronics,0,0,13,187.69,3,Discover,237,1818.34,PIN,0.0821,0,0
TXN_37089,USER_5385,101.6,ATM Withdrawal,2023-12-19 18:06:00,8305.36,Tablet,Sydney,Electronics,0,0,2,398.36,4,Amex,89,969.81,Biometric,0.2835,1,1
TXN_31518,USER_8197,251.5,POS,2023-05-02 05:35:00,18830.22,Tablet,New York,Restaurants,0,0,3,179.32,4,Discover,43,4926.68,Biometric,0.3502,0,1
TXN_39977,USER_3421,113.78,ATM Withdrawal,2023-03-21 13:33:00,40009.33,Laptop,Tokyo,Groceries,0,0,12,237.36,2,Mastercard,1,890.28,Biometric,0.8331,0,0
TXN_29123,USER_7823,416.15,ATM Withdrawal,2023-10-28 11:17:00,26063.71,Tablet,Mumbai,Groceries,0,0,11,302.39,1,Visa,75,773.85,PIN,0.1732,0,0
TXN_19510,USER_7125,61.52,ATM Withdrawal,2023-06-05 03:38:00,2115.5,Laptop,Mumbai,Groceries,1,0,13,340.38,2,Mastercard,152,644.92,PIN,0.7481,0,0
TXN_23632,USER_3404,188.0,ATM Withdrawal,2023-08-29 12:59:00,97541.01,Laptop,Leeds,Restaurants,0,0,12,183.55,1,Visa,32,3151.9,PIN,0.198,1,0
TXN_1246,USER_1806,75.29,POS,2023-11-06 04:40:00,51354.2,Mobile,New York,Clothing,0,0,12,185.47,1,Mastercard,18,1891.46,Biometric,0.8996,0,1
TXN_15163,USER_6818,101.53,Online,2023-04-29 22:52:00,8727.03,Mobile,Sydney,Clothing,0,0,2,452.52,1,Discover,10,943.46,PIN,0.5614,0,0
TXN_7372,USER_1556,26.87,Bank Transfer,2023-08-13 06:17:00,16314.93,Mobile,Liverpool,Restaurants,0,0,11,288.67,0,Amex,160,312.15,Password,0.9235,0,1
TXN_30065,USER_3720,34.31,Online,2023-01-28 05:37:00,56811.07,Laptop,Sapporo,Travel,0,0,6,466.21,1,Visa,50,2729.29,Biometric,0.2976,1,0
TXN_37820,USER_5697,37.99,POS,2023-12-03 11:03:00,82770.38,Mobile,Mumbai,Restaurants,0,0,11,482.5,1,Visa,46,4785.46,Password,0.0609,0,0
TXN_9049,USER_1270,170.6,POS,2023-08-19 09:28:00,59344.26,Laptop,Leeds,Clothing,0,0,11,87.5,1,Mastercard,233,3856.05,Password,0.352,1,0
TXN_47837,USER_4731,133.35,ATM Withdrawal,2023-02-20 11:15:00,89747.58,Laptop,Hyderabad,Clothing,0,0,7,46.33,4,Visa,110,716.45,OTP,0.7255,0,1
TXN_39878,USER_8102,29.43,POS,2023-09-05 19:11:00,2979.53,Tablet,Brisbane,Travel,0,0,5,235.4,1,Visa,164,2809.05,Biometric,0.8515,0,1
TXN_9478,USER_7644,24.49,POS,2023-08-17 02:31:00,90927.49,Laptop,Mumbai,Restaurants,0,0,8,113.51,2,Amex,151,3017.64,Biometric,0.9897,0,1
TXN_34188,USER_5664,19.26,ATM Withdrawal,2023-10-24 12:16:00,55768.05,Tablet,Chennai,Travel,0,0,8,212.1,1,Visa,90,2478.71,Biometric,0.377,1,0
TXN_14573,USER_7537,27.02,ATM Withdrawal,2023-06-28 20:05:00,38064.33,Laptop,Sydney,Clothing,0,0,14,376.72,1,Amex,25,3659.54,OTP,0.9805,0,1
TXN_46888,USER_1031,87.01,ATM Withdrawal,2023-07-25 11:30:00,40976.79,Laptop,New York,Travel,0,0,5,43.62,0,Mastercard,129,539.78,Biometric,0.2831,1,0
TXN_4623,USER_2243,4.65,Bank Transfer,2023-05-13 17:23:00,88181.72,Laptop,Bangalore,Clothing,0,0,10,42.98,4,Visa,133,1010.87,PIN,0.2204,0,1
TXN_19566,USER_6442,15.63,Bank Transfer,2023-05-17 07:10:00,10026.65,Laptop,Osaka,Clothing,0,0,8,351.53,2,Mastercard,213,3751.16,Biometric,0.3361,0,0
TXN_25728,USER_4312,53.2,ATM Withdrawal,2023-03-13 00:19:00,26034.0,Mobile,New York,Electronics,0,0,14,205.46,1,Mastercard,159,2076.64,PIN,0.9424,1,1
TXN_21707,USER_9312,586.94,Bank Transfer,2023-07-29 01:50:00,77969.64,Tablet,Delhi,Groceries,0,0,2,474.98,4,Mastercard,194,3109.51,Password,0.4868,0,1
TXN_49066,USER_1460,8.96,POS,2023-07-09 23:26:00,84818.61,Mobile,London,Electronics,0,1,10,497.7,4,Visa,13,3249.66,PIN,0.6162,0,1
TXN_42459,USER_7794,27.64,Online,2023-05-22 17:21:00,47083.25,Mobile,Chennai,Electronics,0,0,5,139.32,0,Visa,137,706.72,Biometric,0.672,1,0
TXN_45359,USER_9697,227.55,ATM Withdrawal,2023-09-10 21:17:00,5938.73,Laptop,Sydney,Travel,0,0,11,433.16,1,Visa,229,4652.44,OTP,0.7665,0,0
TXN_6600,USER_1453,127.94,ATM Withdrawal,2023-10-07 04:45:00,3734.7,Laptop,Liverpool,Electronics,0,1,14,406.65,2,Discover,162,85.8,PIN,0.5627,0,0
TXN_7625,USER_5640,140.92,ATM Withdrawal,2023-07-01 08:04:00,11061.31,Tablet,Mumbai,Restaurants,0,0,10,209.27,4,Discover,130,107.67,OTP,0.2239,0,1
TXN_2968,USER_7091,175.19,Online,2023-07-19 16:08:00,45203.1,Mobile,San Francisco,Restaurants,0,0,2,59.73,4,Visa,153,3134.11,Password,0.933,0,1
TXN_11493,USER_2216,56.04,POS,2023-12-08 07:07:00,94357.17,Mobile,Delhi,Clothing,0,0,2,196.04,1,Visa,66,1710.57,Password,0.4478,0,0
TXN_33111,USER_2806,96.17,Bank Transfer,2023-08-27 21:15:00,34374.82,Laptop,Osaka,Restaurants,0,0,2,218.18,1,Amex,110,4528.58,Biometric,0.9116,0,1
TXN_16527,USER_6140,137.05,POS,2023-01-08 21:04:00,52302.39,Tablet,New York,Electronics,0,0,6,457.98,0,Mastercard,140,4856.42,PIN,0.389,1,0
TXN_37238,USER_2813,123.36,POS,2023-05-30 14:15:00,92414.63,Laptop,London,Groceries,0,1,1,195.87,0,Discover,79,2041.13,OTP,0.618,0,0
TXN_8456,USER_4235,164.36,Bank Transfer,2023-04-16 00:08:00,84084.26,Laptop,Delhi,Electronics,0,0,13,376.06,4,Discover,227,4555.86,PIN,0.4537,0,1
TXN_7002,USER_2054,9.37,POS,2023-05-10 10:43:00,84849.86,Mobile,New York,Electronics,0,0,9,473.88,4,Discover,164,1563.28,OTP,0.3613,0,1
TXN_21605,USER_3057,37.35,Bank Transfer,2023-12-14 18:24:00,56827.12,Tablet,Sydney,Restaurants,0,0,8,438.1,1,Amex,56,3668.24,Biometric,0.9611,0,1
TXN_16503,USER_1276,3.31,Bank Transfer,2023-08-07 14:05:00,61871.13,Tablet,Sydney,Electronics,0,0,5,182.34,1,Visa,31,3317.18,Password,0.4819,0,0
TXN_46134,USER_9028,109.28,ATM Withdrawal,2023-11-03 18:55:00,92422.28,Laptop,London,Restaurants,0,0,3,384.61,1,Discover,208,3408.17,Password,0.5304,0,0
TXN_44618,USER_2315,5.5,POS,2023-09-19 12:24:00,63242.01,Tablet,Chicago,Restaurants,0,0,11,401.1,1,Amex,43,2787.02,PIN,0.3813,1,0
TXN_12072,USER_2787,344.26,Online,2023-03-07 13:52:00,32015.02,Tablet,New York,Clothing,0,0,5,130.01,4,Visa,8,936.88,Biometric,0.9882,0,1
